,Frame,Mean,Game,Alg,Model
78,124800000,34645.454545454544,Asterix,Amp,"[0, 1, 2, 3, 4]"
79,126400000,35343.47826086957,Asterix,Amp,"[0, 1, 2, 3, 4]"
80,128000000,34908.69565217391,Asterix,Amp,"[0, 1, 2, 3, 4]"
81,129600000,34778.260869565216,Asterix,Amp,"[0, 1, 2, 3, 4]"
82,131200000,35221.739130434784,Asterix,Amp,"[0, 1, 2, 3, 4]"
83,132800000,37676.74418604651,Asterix,Amp,"[0, 1, 2, 3, 4]"
84,134400000,35873.913043478264,Asterix,Amp,"[0, 1, 2, 3, 4]"
85,136000000,36828.88888888889,Asterix,Amp,"[0, 1, 2, 3, 4]"
86,137600000,35465.217391304344,Asterix,Amp,"[0, 1, 2, 3, 4]"
87,139200000,37118.181818181816,Asterix,Amp,"[0, 1, 2, 3, 4]"
88,140800000,35378.260869565216,Asterix,Amp,"[0, 1, 2, 3, 4]"
89,142400000,34057.44680851064,Asterix,Amp,"[0, 1, 2, 3, 4]"
90,144000000,34935.555555555555,Asterix,Amp,"[0, 1, 2, 3, 4]"
91,145600000,35382.608695652176,Asterix,Amp,"[0, 1, 2, 3, 4]"
92,147200000,36743.47826086957,Asterix,Amp,"[0, 1, 2, 3, 4]"
93,148800000,35241.666666666664,Asterix,Amp,"[0, 1, 2, 3, 4]"
94,150400000,35500.0,Asterix,Amp,"[0, 1, 2, 3, 4]"
95,152000000,35900.0,Asterix,Amp,"[0, 1, 2, 3, 4]"
96,153600000,34533.333333333336,Asterix,Amp,"[0, 1, 2, 3, 4]"
97,155200000,35647.82608695652,Asterix,Amp,"[0, 1, 2, 3, 4]"
98,156800000,37163.63636363636,Asterix,Amp,"[0, 1, 2, 3, 4]"
99,158400000,36563.04347826087,Asterix,Amp,"[0, 1, 2, 3, 4]"
100,160000000,36117.391304347824,Asterix,Amp,"[0, 1, 2, 3, 4]"
101,0,204.04858299595142,Asterix,Amp Single,0
102,1600000,273.5807860262009,Asterix,Amp Single,0
103,3200000,300.42826552462526,Asterix,Amp Single,0
104,4800000,244.06130268199234,Asterix,Amp Single,0
105,6400000,294.39746300211414,Asterix,Amp Single,0
106,8000000,303.7122969837587,Asterix,Amp Single,0
107,9600000,647.2696245733788,Asterix,Amp Single,0
108,11200000,894.1666666666666,Asterix,Amp Single,0
109,12800000,956.6844919786096,Asterix,Amp Single,0
110,14400000,789.7489539748954,Asterix,Amp Single,0
111,16000000,1125.9036144578313,Asterix,Amp Single,0
112,17600000,1585.9375,Asterix,Amp Single,0
113,19200000,1566.4473684210527,Asterix,Amp Single,0
114,20800000,2257.1969696969695,Asterix,Amp Single,0
115,22400000,2432.2033898305085,Asterix,Amp Single,0
116,24000000,2385.4477611940297,Asterix,Amp Single,0
117,25600000,2486.991869918699,Asterix,Amp Single,0
118,27200000,2537.39837398374,Asterix,Amp Single,0
119,28800000,2467.8030303030305,Asterix,Amp Single,0
120,30400000,2390.2877697841727,Asterix,Amp Single,0
121,32000000,2810.569105691057,Asterix,Amp Single,0
122,33600000,2777.1739130434785,Asterix,Amp Single,0
123,35200000,2879.4117647058824,Asterix,Amp Single,0
124,36800000,2827.4809160305344,Asterix,Amp Single,0
125,38400000,2681.6831683168316,Asterix,Amp Single,0
126,40000000,2929.435483870968,Asterix,Amp Single,0
127,41600000,3291.3636363636365,Asterix,Amp Single,0
128,43200000,2996.218487394958,Asterix,Amp Single,0
129,44800000,2294.701986754967,Asterix,Amp Single,0
130,46400000,4072.8155339805826,Asterix,Amp Single,0
131,48000000,3668.5714285714284,Asterix,Amp Single,0
132,49600000,3187.9032258064517,Asterix,Amp Single,0
133,51200000,3418.8524590163934,Asterix,Amp Single,0
134,52800000,2127.007299270073,Asterix,Amp Single,0
135,54400000,3438.75,Asterix,Amp Single,0
136,56000000,4418.807339449541,Asterix,Amp Single,0
137,57600000,4737.894736842105,Asterix,Amp Single,0
138,59200000,3562.6923076923076,Asterix,Amp Single,0
139,60800000,4971.428571428572,Asterix,Amp Single,0
140,62400000,4000.4166666666665,Asterix,Amp Single,0
141,64000000,5251.5,Asterix,Amp Single,0
142,65600000,6540.0,Asterix,Amp Single,0
143,67200000,4752.136752136752,Asterix,Amp Single,0
144,68800000,3620.2290076335876,Asterix,Amp Single,0
145,70400000,6394.38202247191,Asterix,Amp Single,0
146,72000000,5221.428571428572,Asterix,Amp Single,0
147,73600000,5656.989247311828,Asterix,Amp Single,0
148,75200000,5644.148936170212,Asterix,Amp Single,0
149,76800000,4369.130434782609,Asterix,Amp Single,0
150,78400000,6428.333333333333,Asterix,Amp Single,0
151,80000000,4793.867924528302,Asterix,Amp Single,0
152,81600000,4958.333333333333,Asterix,Amp Single,0
153,83200000,8216.438356164384,Asterix,Amp Single,0
154,84800000,5563.020833333333,Asterix,Amp Single,0
155,86400000,3889.312977099237,Asterix,Amp Single,0
156,88000000,5574.509803921569,Asterix,Amp Single,0
157,89600000,6975.294117647059,Asterix,Amp Single,0
158,91200000,5484.803921568628,Asterix,Amp Single,0
159,92800000,6552.688172043011,Asterix,Amp Single,0
160,94400000,6295.263157894737,Asterix,Amp Single,0
161,96000000,5393.867924528302,Asterix,Amp Single,0
162,97600000,6039.523809523809,Asterix,Amp Single,0
163,99200000,9867.910447761195,Asterix,Amp Single,0
