,Frame,Mean,Game,Alg,Model,Average Score,Best Score
58,23600000,37259.45945945946,Asterix,Amp,"[0, 1, 2, 3, 4]",31790.250130608103,38938.09523809524
59,24000000,31664.285714285714,Asterix,Amp,"[0, 1, 2, 3, 4]",32274.491202036676,38938.09523809524
60,24400000,34907.5,Asterix,Amp,"[0, 1, 2, 3, 4]",33155.241202036676,38938.09523809524
61,24800000,36171.794871794875,Asterix,Amp,"[0, 1, 2, 3, 4]",33656.48318921616,38938.09523809524
62,25200000,34690.47619047619,Asterix,Amp,"[0, 1, 2, 3, 4]",34054.50516723814,38938.09523809524
63,25600000,36607.31707317073,Asterix,Amp,"[0, 1, 2, 3, 4]",34451.413345143446,38938.09523809524
64,26000000,35714.28571428572,Asterix,Amp,"[0, 1, 2, 3, 4]",34561.175249905355,38938.09523809524
65,26400000,37026.829268292684,Asterix,Amp,"[0, 1, 2, 3, 4]",35068.06870305041,38938.09523809524
66,26800000,37547.619047619046,Asterix,Amp,"[0, 1, 2, 3, 4]",35482.29006727178,38938.09523809524
67,27200000,36648.83720930233,Asterix,Amp,"[0, 1, 2, 3, 4]",35823.84045486868,38938.09523809524
68,27600000,37067.441860465115,Asterix,Amp,"[0, 1, 2, 3, 4]",35804.638694969246,38938.09523809524
69,28000000,38938.09523809524,Asterix,Amp,"[0, 1, 2, 3, 4]",36532.01964735019,38938.09523809524
70,28400000,37853.48837209302,Asterix,Amp,"[0, 1, 2, 3, 4]",36826.61848455949,38938.09523809524
71,28800000,36472.09302325582,Asterix,Amp,"[0, 1, 2, 3, 4]",36856.64829970559,38938.09523809524
72,29200000,35445.454545454544,Asterix,Amp,"[0, 1, 2, 3, 4]",36932.14613520342,38938.09523809524
73,29600000,35634.782608695656,Asterix,Amp,"[0, 1, 2, 3, 4]",36834.892688755914,38938.09523809524
74,30000000,35553.333333333336,Asterix,Amp,"[0, 1, 2, 3, 4]",36818.79745066067,38938.09523809524
75,30400000,34297.77777777778,Asterix,Amp,"[0, 1, 2, 3, 4]",36545.89230160917,38938.09523809524
76,30800000,34064.444444444445,Asterix,Amp,"[0, 1, 2, 3, 4]",36197.57484129172,38938.09523809524
77,31200000,34645.454545454544,Asterix,Amp,"[0, 1, 2, 3, 4]",35997.23657490693,38938.09523809524
78,31600000,35343.47826086957,Asterix,Amp,"[0, 1, 2, 3, 4]",35824.84021494738,38938.09523809524
79,32000000,34908.69565217391,Asterix,Amp,"[0, 1, 2, 3, 4]",35421.90025635525,38938.09523809524
80,32400000,34778.260869565216,Asterix,Amp,"[0, 1, 2, 3, 4]",35114.377506102464,38938.09523809524
81,32800000,35221.739130434784,Asterix,Amp,"[0, 1, 2, 3, 4]",34989.34211682036,38938.09523809524
82,33200000,37676.74418604651,Asterix,Amp,"[0, 1, 2, 3, 4]",35212.47108087956,38938.09523809524
83,33600000,35873.913043478264,Asterix,Amp,"[0, 1, 2, 3, 4]",35236.38412435782,38938.09523809524
84,34000000,36828.88888888889,Asterix,Amp,"[0, 1, 2, 3, 4]",35363.939679913376,38938.09523809524
85,34400000,35465.217391304344,Asterix,Amp,"[0, 1, 2, 3, 4]",35480.683641266034,38938.09523809524
86,34800000,37118.181818181816,Asterix,Amp,"[0, 1, 2, 3, 4]",35786.05737863977,38938.09523809524
87,35200000,35378.260869565216,Asterix,Amp,"[0, 1, 2, 3, 4]",35859.33801105084,38938.09523809524
88,35600000,34057.44680851064,Asterix,Amp,"[0, 1, 2, 3, 4]",35730.73486581494,38938.09523809524
89,36000000,34935.555555555555,Asterix,Amp,"[0, 1, 2, 3, 4]",35733.42085615311,38938.09523809524
90,36400000,35382.608695652176,Asterix,Amp,"[0, 1, 2, 3, 4]",35793.85563876181,38938.09523809524
91,36800000,36743.47826086957,Asterix,Amp,"[0, 1, 2, 3, 4]",35946.02955180529,38938.09523809524
92,37200000,35241.666666666664,Asterix,Amp,"[0, 1, 2, 3, 4]",35702.5217998673,38938.09523809524
93,37600000,35500.0,Asterix,Amp,"[0, 1, 2, 3, 4]",35665.13049551948,38938.09523809524
94,38000000,35900.0,Asterix,Amp,"[0, 1, 2, 3, 4]",35572.24160663059,38938.09523809524
